id	label	label_num	umap_no_mfw_x	umap_no_mfw_y	umap_su_mfw_x	umap_su_mfw_y	color	title	token	ttr	psttr_value	basic_vocab	publisher	author	date	match_id	reihe	typ	ivis_no_mfw_x	ivis_no_mfw_y	ivis_su_mfw_x	ivis_su_mfw_y
9783838734217	Horror	6	-5.682371	-3.9823349	-0.15233095	-17.286871	black	John Sinclair - Folge 0691 : Die Werwölfe aus Atlantis (1. Teil)	31989	0.148921537980619	1	0.417018350057832	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734217	Jason Dark	Serie	-5.1942644	2.878016	-31.770714	-17.386665
9783838734224	Horror	6	-5.326338	-4.213315	-0.20478526	-17.211786	black	John Sinclair - Folge 0692 : Herr der Schattenburg (2. Teil)	32362	0.142760027192386	1	0	Bastei Lübbe	0	0	9783838734224	Jason Dark		-3.7678452	3.2361126	-29.47321	-18.548876
9783838734231	Horror	6	-5.6839943	-3.532065	-0.6570511	-17.822746	black	John Sinclair - Folge 0693 : Voodoo in Dortmund	32473	0.152993348115299	1	0.43674160763782	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734231	Jason Dark	Serie	-4.868026	3.1845398	-28.327778	-16.569696
9783838734248	Horror	6	-5.6765285	-4.0700426	-0.003088689	-17.299028	black	John Sinclair - Folge 0694 : Lavalles Todesspur	32238	0.155101281136582	1	0.418178997983558	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734248	Jason Dark	Serie	-4.3445854	3.0314648	-30.716105	-17.954126
9783838734255	Horror	6	-5.1234875	-4.685953	0.11385899	-16.841106	black	John Sinclair - Folge 0695 : Blut an bleichen Lippen	32841	0.143870653431582	1	0.416065284248348	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734255	Jason Dark	Serie	-5.1073966	3.0886052	-31.64272	-18.379242
9783838734262	Horror	6	-5.279447	-4.188941	0.024713583	-17.443203	black	John Sinclair - Folge 0696 : Im Bann des Verfluchten (1. Teil)	33012	0.151364613939963	1	0.417997273140433	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734262	Jason Dark	Serie	-4.2279263	2.784278	-28.444588	-16.688168
9783838734279	Horror	6	-5.761292	-4.276638	-0.6994909	-17.924294	black	John Sinclair - Folge 0697 : Der Leichenholer (2. Teil)	32010	0.149020587959636	1	0.408335416145963	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734279	Jason Dark	Serie	-5.272828	2.844587	-30.569647	-15.541322
9783838734286	Horror	6	-5.4198585	-3.8147783	-0.47783285	-17.602402	black	John Sinclair - Folge 0698 : Der Ghoul aus dem Gully	32497	0.148198295227252	1	0.421511001692568	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734286	Jason Dark	Serie	-5.0549135	2.8764157	-33.351658	-17.065214
9783838734293	Horror	6	-5.6967936	-4.0157	-0.90999836	-17.433668	black	John Sinclair - Folge 0699 : Das Erwachen der Hexe	32827	0.145829525376226	1	0.41585425298562	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734293	Jason Dark	Serie	-4.217482	2.8585172	-28.753845	-16.318325
9783838734309	Horror	6	-5.504286	-4.219604	-0.3879157	-17.513147	black	John Sinclair - Folge 0700 : Assungas Zaubermantel (1. Teil)	33223	0.151246087165904	1	0.406495500105349	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734309	Jason Dark	Serie	-5.255754	2.7567196	-33.489975	-17.023258
9783838734316	Horror	6	-5.707553	-3.9522305	-0.41874936	-17.571156	black	John Sinclair - Folge 0701 : Draculas Blutgemach (2. Teil)	32775	0.146919720501632	1	0.413676309044306	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734316	Jason Dark	Serie	-4.1132107	2.7101343	-28.149458	-15.841269
9783838734323	Horror	6	-5.506271	-4.2101545	-0.7562226	-18.118063	black	John Sinclair - Folge 0702 : Die Nacht der bösen Frauen (3. Teil)	32395	0.139933320985368	1	0.406396641145962	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734323	Jason Dark	Serie	-4.3201656	2.5483446	-28.165295	-16.395721
9783838734330	Horror	6	-6.0113506	-4.0466805	-0.37299222	-17.823011	black	John Sinclair - Folge 0703 : Die Insel des Kopfjägers	31825	0.15560583207642	1	0.417591050498067	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734330	Jason Dark	Serie	-4.5746794	2.7679543	-26.80415	-16.25874
9783838734347	Horror	6	-6.0914803	-4.364368	-0.8874627	-17.623371	black	John Sinclair - Folge 0704 : Der Pestbringer (1. Teil)	33632	0.140673783116767	1	0.410853404698186	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734347	Jason Dark	Serie	-4.685746	2.4725983	-31.270784	-15.009978
9783838734354	Horror	6	-6.0007005	-4.251651	0.06344434	-16.672306	black	John Sinclair - Folge 0705 : Schrei nach dem Satan (2. Teil)	33544	0.137218661499478	1	0.409879561173384	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734354	Jason Dark	Serie	-3.7974033	2.7424932	-28.145086	-15.096403
9783838734361	Horror	6	-5.54352	-4.0209413	0.39203218	-17.696938	black	John Sinclair - Folge 0706 : Das Galgen-Trio	33597	0.145012947584606	1	0.415098833055489	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734361	Jason Dark	Serie	-4.537657	2.966876	-28.813478	-17.33316
9783838734378	Horror	6	-6.204549	-4.156604	-0.18889284	-17.565725	black	John Sinclair - Folge 0707 : Geheimbund Dunkler Gral	32925	0.146358500880763	1	0.405952923310554	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734378	Jason Dark	Serie	-4.5613337	2.8833838	-30.316198	-15.764875
9783838734392	Horror	6	-6.0255737	-4.275104	-0.03107052	-16.975811	black	John Sinclair - Folge 0709 : Das Seelenschwert (2. Teil)	33758	0.134723621067599	1	0.40723405515893	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734392	Jason Dark	Serie	-5.3608875	2.5409408	-29.31497	-14.306823
9783838734408	Horror	6	-5.4976864	-4.3821106	-0.921917	-17.444736	black	John Sinclair - Folge 0710 : Der Freund des Satans (3. Teil)	32957	0.130984889859822	1	0.392857142857143	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734408	Jason Dark	Serie	-4.2991195	2.3710468	-27.932516	-14.808857
9783838734415	Horror	6	-6.0432673	-4.255971	-0.7758397	-17.76006	black	John Sinclair - Folge 0711 : Die Psycho-Bombe	32098	0.145928095208424	1	0	Bastei Lübbe	0	0	9783838734415	Jason Dark		-4.624295	2.7213569	-30.707226	-16.76775
9783838734422	Horror	6	-5.712384	-4.36135	-0.7652542	-17.648552	black	John Sinclair - Folge 0712 : Der Mumienfluch	33180	0.14550495765649	1	0.419753458512915	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734422	Jason Dark	Serie	-5.5045676	2.941039	-30.03595	-17.01176
9783838734439	Horror	6	-6.2306957	-3.8065064	-0.06672955	-17.427338	black	John Sinclair - Folge 0713 : Das Monster Suko?	32719	0.140953545232274	1	0.421895534704606	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734439	Jason Dark	Serie	-3.9063654	2.8046465	-28.370235	-16.247488
9783838734446	Horror	6	-5.02606	-4.69339	-0.6266306	-17.345669	black	John Sinclair - Folge 0714 : Die Totenfrau ist da	32771	0.145764677163432	1	0.400988739357319	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734446	Jason Dark	Serie	-4.491186	2.928523	-30.522943	-17.192558
9783838734453	Horror	6	-6.1011343	-3.8961248	-0.42739925	-17.685186	black	John Sinclair - Folge 0715 : Tanz der Messer	33268	0.136501638260138	1	0.418505380869356	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734453	Jason Dark	Serie	-5.099121	2.5069833	-30.567505	-13.841596
9783838734460	Horror	6	-5.8301773	-3.9814353	-0.39804435	-17.649723	black	John Sinclair - Folge 0716 : Der Flammen-Friedhof	33543	0.146255664202242	1	0.426855081537131	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734460	Jason Dark	Serie	-4.89262	2.4432945	-32.404835	-15.546072
9783838734477	Horror	6	-5.351583	-3.0994055	0.07393863	-18.190697	black	John Sinclair - Folge 0717 : Das Treibhaus des Schreckens	33174	0.140798794272796	1	0.427214903686733	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734477	Jason Dark	Serie	-5.331466	2.7368054	-31.270948	-16.430676
9783838734484	Horror	6	-5.958011	-4.7437935	-0.9394019	-17.107285	black	John Sinclair - Folge 0718 : Tango Fatal	32390	0.139699299188046	1	0.410015746086634	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734484	Jason Dark	Serie	-4.779662	3.0144982	-29.144482	-17.633747
9783838734491	Horror	6	-5.856182	-4.35394	-0.30332753	-17.61509	black	John Sinclair - Folge 0719 : Myxins Henker	32313	0.14829485671845	1	0.417138612942159	Bastei Lübbe	Dark, Jason [Tn7]	2015	9783838734491	Jason Dark	Serie	-4.6179333	2.6389394	-32.69563	-18.271055
